incident_id,po_number,incident_date,reason,airfreight_cost_eur,original_delivery_date,actual_delivery_date
AIR001,PO00327,2025-09-26,Lost container,13026.09,2025-08-31,2025-09-26
AIR002,PO00155,2025-04-14,Urgent order,3806.99,2025-04-06,2025-04-14
AIR003,PO00031,2025-07-16,Lost container,10422.85,2025-06-24,2025-07-16
AIR004,PO00392,2025-08-02,Delayed sea shipment,9085.85,2025-07-16,2025-08-02
AIR005,PO00016,2025-07-23,Port strike,7079.8,2025-07-13,2025-07-23
AIR006,PO00391,2026-02-03,Delayed sea shipment,7228.85,2026-01-24,2026-02-03
AIR007,PO00347,2025-05-15,Delayed sea shipment,8169.37,2025-04-15,2025-05-15
AIR008,PO00298,2025-05-13,Urgent order,11967.59,2025-04-22,2025-05-13
AIR009,PO00042,2025-04-25,Urgent order,8376.99,2025-04-03,2025-04-25
AIR010,PO00215,2025-12-18,Lost container,14555.08,2025-11-19,2025-12-18
AIR011,PO00396,2025-11-22,Urgent order,8027.46,2025-11-03,2025-11-22
AIR012,PO00274,2026-03-03,Port strike,12690.66,2026-02-17,2026-03-03
AIR013,PO00135,2025-04-28,Urgent order,7267.93,2025-04-14,2025-04-28
AIR014,PO00016,2025-12-16,Urgent order,11333.52,2025-11-23,2025-12-16
AIR015,PO00352,2025-06-05,Urgent order,14642.19,2025-05-29,2025-06-05
