supplier_id,supplier_name,event_date,expected_delivery,actual_delivery,delay_days,quantity_delivered,material_category
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-12-31,2024-11-04,2025-01-13,13,92,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-01-12,2025-11-22,2026-02-09,28,97,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-11-19,2025-09-30,2025-11-23,4,85,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-02-26,2025-01-11,2025-02-26,0,87,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-04-01,2026-02-06,2026-04-01,0,89,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-12-16,2024-10-26,2024-12-16,0,93,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-03-12,2025-01-15,2025-03-12,0,94,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-04-15,2025-03-12,2025-04-15,0,83,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-03-03,2026-01-07,2026-03-03,0,99,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-03-19,2026-02-10,2026-03-19,0,83,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-03-01,2026-01-16,2026-03-01,0,81,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-07-28,2025-06-05,2025-07-28,0,94,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-08-08,2025-06-22,2025-08-08,0,81,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-11-12,2025-09-27,2025-11-20,8,98,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-05-13,2025-03-26,2025-05-13,0,90,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-08-05,2025-06-27,2025-08-27,22,96,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-08-21,2025-07-09,2025-08-21,0,81,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-10-07,2025-08-18,2025-10-07,0,97,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-11-13,2024-10-13,2024-12-04,21,92,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-10-14,2024-09-04,2024-10-14,0,93,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-11-03,2025-09-25,2025-11-03,0,97,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-12-06,2024-10-30,2024-12-16,10,84,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2024-12-16,2024-10-18,2024-12-16,0,93,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-02-02,2024-12-17,2025-02-02,0,92,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-07-30,2025-06-22,2025-07-30,0,100,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-01-14,2025-11-16,2026-01-14,0,91,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2025-12-31,2025-11-14,2025-12-31,0,86,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-02-11,2026-01-04,2026-02-11,0,99,Raw Materials
SUP0001,"Rodriguez, Figueroa and Sanchez",2026-02-23,2025-12-28,2026-02-23,0,98,Raw Materials
SUP0002,"Santos, Gardner and Robinson",2025-08-25,2025-07-11,2025-08-25,0,90,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-05-29,2025-03-30,2025-06-05,7,86,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-12-05,2025-10-13,2025-12-21,16,87,Weaving
SUP0002,"Santos, Gardner and Robinson",2025-09-07,2025-07-27,2025-09-25,18,90,Weaving
