po_number,supplier_id,supplier_name,material_category,po_date,expected_delivery,item_code,quantity,status,goods_receipt_date
PO00001,SUP0096,Johnson-Landry,Raw Materials,2025-12-02,2026-04-10,ITEM9595,4988,on_track,
PO00002,SUP0177,Thompson-Joyce,Raw Materials,2026-01-22,2026-03-18,ITEM4180,2526,red,
PO00003,SUP0161,Palmer-Byrd,Raw Materials,2026-02-05,2026-04-21,ITEM5952,215,amber,
PO00004,SUP0139,"Wagner, Simpson and Cohen",Raw Materials,2025-11-19,2026-03-22,ITEM5494,472,red,
PO00005,SUP0112,Bennett-Vega,Finishing,2026-03-22,2026-05-15,ITEM5786,1134,on_track,
PO00006,SUP0075,"Conner, Li and Santiago",Weaving,2025-10-23,2026-05-07,ITEM2680,200,on_track,
PO00007,SUP0013,Barrera-Martin,Finishing,2025-11-09,2026-04-11,ITEM8843,3708,amber,
PO00008,SUP0012,Ramirez and Sons,Raw Materials,2026-01-07,2026-03-29,ITEM1841,2168,red,
PO00009,SUP0056,"Ortiz, Taylor and Shah",Sewing,2025-12-03,2026-03-20,ITEM2070,3382,red,
PO00010,SUP0116,"Thomas, Ford and Brown",Raw Materials,2025-11-30,2026-03-15,ITEM1878,1342,red,
PO00011,SUP0055,Richardson-Curry,Finishing,2026-02-25,2026-05-17,ITEM5978,797,on_track,
PO00012,SUP0087,Thomas PLC,Cutting,2026-01-31,2026-03-21,ITEM7818,4983,red,
PO00013,SUP0059,Garrison-Thomas,Raw Materials,2025-10-28,2026-04-03,ITEM9561,3216,red,
PO00014,SUP0183,Johnson-Williams,Finishing,2025-12-10,2026-05-01,ITEM5871,4921,on_track,
PO00015,SUP0094,Washington-Harris,Weaving,2025-12-16,2026-04-14,ITEM1986,912,on_track,
PO00016,SUP0140,Cunningham-Barton,Finishing,2026-02-10,2026-05-25,ITEM4457,2267,on_track,
PO00017,SUP0111,"Roman, Cummings and Foster",Cutting,2025-10-17,2026-03-16,ITEM3573,2064,red,
PO00018,SUP0171,"Smith, Cruz and Oconnor",Raw Materials,2026-02-19,2026-05-15,ITEM2229,1382,on_track,
PO00019,SUP0162,Watson-Mccoy,Sewing,2026-04-04,2026-04-27,ITEM8381,4964,on_track,
PO00020,SUP0063,Davis-Rodgers,Sewing,2025-12-05,2026-04-12,ITEM4792,2460,amber,
PO00021,SUP0028,Stein-Silva,Sewing,2026-01-22,2026-06-03,ITEM8438,683,on_track,
PO00022,SUP0072,Hayes-Brown,Raw Materials,2025-10-11,2026-04-04,ITEM5334,4931,red,
PO00023,SUP0051,Little-Stevens,Weaving,2025-10-17,2026-03-31,ITEM7965,1040,red,
PO00024,SUP0089,Roach Group,Finishing,2025-11-16,2026-04-03,ITEM3441,2276,red,
PO00025,SUP0126,Marquez Inc,Raw Materials,2026-02-27,2026-03-15,ITEM1977,1459,red,
PO00026,SUP0029,Price Ltd,Finishing,2026-01-16,2026-05-21,ITEM5728,3697,on_track,
PO00027,SUP0088,Edwards-Ramirez,Cutting,2026-03-04,2026-05-04,ITEM5982,3397,on_track,
PO00028,SUP0031,"Hernandez, Martinez and Caldwell",Sewing,2026-01-25,2026-05-09,ITEM9847,4145,on_track,
PO00029,SUP0180,Smith-Roth,Sewing,2025-12-13,2026-03-16,ITEM1653,3639,red,
PO00030,SUP0183,Johnson-Williams,Finishing,2026-01-12,2026-05-22,ITEM5102,311,on_track,
PO00031,SUP0073,Shepherd LLC,Finishing,2026-03-12,2026-04-04,ITEM1339,2307,red,
PO00032,SUP0033,Hamilton LLC,Raw Materials,2025-11-08,2026-03-11,ITEM3870,3954,red,
PO00033,SUP0141,"Greer, Potter and Evans",Sewing,2025-11-23,2026-05-28,ITEM8245,2378,on_track,
PO00034,SUP0171,"Smith, Cruz and Oconnor",Raw Materials,2026-02-17,2026-05-19,ITEM8141,4128,on_track,
PO00035,SUP0004,"Flowers, Martin and Kelly",Raw Materials,2026-03-12,2026-05-05,ITEM6700,3445,on_track,
PO00036,SUP0017,Jacobs-Robbins,Cutting,2026-01-09,2026-04-16,ITEM2713,1417,on_track,
PO00037,SUP0029,Price Ltd,Finishing,2026-01-10,2026-04-27,ITEM9117,2461,on_track,
PO00038,SUP0011,Aguirre-Lee,Raw Materials,2025-10-17,2026-04-26,ITEM1601,3825,on_track,
PO00039,SUP0060,West-Cox,Raw Materials,2026-03-13,2026-04-15,ITEM6296,1049,amber,
PO00040,SUP0040,Norris-Harrison,Finishing,2025-12-22,2026-05-10,ITEM1018,4544,on_track,
PO00041,SUP0159,Carter LLC,Finishing,2025-12-07,2026-04-27,ITEM1888,1636,on_track,
PO00042,SUP0162,Watson-Mccoy,Sewing,2025-11-23,2026-04-21,ITEM9167,3721,on_track,
PO00043,SUP0178,"Nguyen, Hill and Ellis",Cutting,2026-03-22,2026-04-01,ITEM5375,4599,red,
PO00044,SUP0125,Kim Inc,Finishing,2026-03-02,2026-04-11,ITEM8941,1094,amber,
PO00045,SUP0001,"Rodriguez, Figueroa and Sanchez",Raw Materials,2026-03-28,2026-05-25,ITEM4920,1397,on_track,
PO00046,SUP0158,Vasquez-Brown,Finishing,2026-01-15,2026-05-15,ITEM1224,4624,on_track,
PO00047,SUP0200,Cordova-Williams,Weaving,2025-12-21,2026-03-17,ITEM4681,1029,red,
PO00048,SUP0135,Hall-Sullivan,Weaving,2025-12-07,2026-03-21,ITEM3522,4182,red,
PO00049,SUP0129,Smith-Foster,Sewing,2026-01-20,2026-05-10,ITEM5479,3503,on_track,
PO00050,SUP0135,Hall-Sullivan,Weaving,2025-12-02,2026-05-05,ITEM4993,3841,on_track,
PO00051,SUP0095,Davis LLC,Sewing,2025-11-14,2026-03-24,ITEM7284,1661,red,
PO00052,SUP0014,"Woods, Calhoun and Schmidt",Raw Materials,2025-11-02,2026-05-10,ITEM3236,671,on_track,
PO00053,SUP0166,"Velasquez, Stark and Brown",Raw Materials,2026-01-24,2026-04-28,ITEM6568,4259,on_track,
PO00054,SUP0175,May Group,Weaving,2026-01-26,2026-03-06,ITEM5634,2545,red,
