supplier_id,supplier_name,country,material_category,contact_email,contact_phone,onboarded_date,risk_score_initial
SUP0001,"Rodriguez, Figueroa and Sanchez",China,Raw Materials,jillrhodes@example.net,296-500-1338,2025-02-13,7.7
SUP0002,"Santos, Gardner and Robinson",Spain,Weaving,lisa02@example.net,(254)923-5116x15594,2024-06-24,7.6
SUP0003,"Martinez, Nielsen and Miller",China,Finishing,maria95@example.net,610.934.1316,2024-10-09,6.3
SUP0004,"Flowers, Martin and Kelly",Portugal,Raw Materials,jacqueline19@example.net,(783)227-6483,2024-09-26,3.0
SUP0005,Underwood LLC,India,Finishing,nadams@example.net,001-653-876-7242x388,2025-02-10,6.1
SUP0006,"Ross, Robinson and Bright",China,Finishing,ddavis@example.org,(626)291-6697,2022-11-28,3.0
SUP0007,"Le, Maldonado and Herrera",India,Cutting,kayla51@example.com,(727)404-8281x48932,2025-03-23,7.8
SUP0008,"Ashley, Nielsen and Sellers",Spain,Sewing,tracy15@example.com,403.491.1718,2023-05-10,3.5
SUP0009,"Alvarez, Pierce and Baker",Spain,Cutting,ibrandt@example.net,001-734-265-7871x331,2024-09-08,1.8
SUP0010,"Spencer, Chapman and Smith",Portugal,Cutting,perezrebecca@example.com,983-547-3829,2023-05-02,6.4
SUP0011,Aguirre-Lee,Vietnam,Raw Materials,hopkinsmichael@example.com,401.806.5133x387,2022-09-08,5.8
SUP0012,Ramirez and Sons,Turkey,Raw Materials,ramosmichelle@example.net,908-501-3267,2022-03-02,3.6
SUP0013,Barrera-Martin,China,Finishing,gallowayjoseph@example.com,268-272-3430x9805,2023-03-27,6.2
SUP0014,"Woods, Calhoun and Schmidt",China,Raw Materials,yuchristopher@example.org,291-336-1939,2025-01-02,7.0
SUP0015,Sandoval-Cunningham,Vietnam,Cutting,sarah35@example.org,362-547-5107x991,2024-10-24,8.7
SUP0016,"Baker, Mahoney and Ibarra",Vietnam,Raw Materials,mikemoore@example.net,001-449-680-8412x411,2023-02-17,3.5
SUP0017,Jacobs-Robbins,China,Cutting,gracefarrell@example.net,840.216.4005x2427,2024-05-07,4.3
SUP0018,Jones Ltd,Spain,Cutting,amydavenport@example.net,+1-526-520-4505,2021-04-29,9.4
SUP0019,"Garcia, Deleon and Henson",China,Raw Materials,vdickson@example.org,622.460.2563,2021-11-05,6.7
SUP0020,"Rodriguez, Brennan and Garrison",India,Weaving,jamessellers@example.com,733-203-6541x4586,2024-05-06,5.2
SUP0021,Wiley LLC,Italy,Finishing,beverlyterrell@example.org,896-555-6981,2024-01-12,7.2
SUP0022,Williams-Graham,Vietnam,Raw Materials,michaeljones@example.net,895-814-8465x64823,2023-12-23,8.4
SUP0023,"Adkins, Thompson and Carroll",Vietnam,Cutting,akelley@example.com,336-699-5777x3872,2023-01-05,3.4
SUP0024,"Beck, Harvey and Davis",Spain,Finishing,emilywalker@example.org,(500)837-9176,2023-07-01,2.9
SUP0025,Ross-Hernandez,Turkey,Sewing,staffordmichelle@example.org,001-763-928-7083x17278,2021-08-28,5.1
SUP0026,"Briggs, Mcclain and Simmons",Italy,Weaving,vmerritt@example.com,643.748.7347x143,2023-11-17,7.7
SUP0027,Orozco-Miller,India,Cutting,jessebenson@example.net,516.865.8760,2021-12-25,4.9
SUP0028,Stein-Silva,India,Sewing,gateskathy@example.com,805.946.6889x3734,2023-03-26,3.0
SUP0029,Price Ltd,Spain,Finishing,dramsey@example.org,+1-280-669-9016x272,2022-06-30,1.8
SUP0030,Murphy-Gibson,Portugal,Raw Materials,kathleen64@example.com,517-208-0531x003,2024-05-27,6.6
SUP0031,"Hernandez, Martinez and Caldwell",Vietnam,Sewing,stevenscott@example.com,(699)812-4190,2021-12-01,1.6
SUP0032,David-Gonzalez,Turkey,Finishing,curtisbarton@example.net,+1-819-905-8651x850,2022-08-21,5.8
SUP0033,Hamilton LLC,India,Raw Materials,bzimmerman@example.org,001-684-998-7769x4531,2021-06-12,7.5
SUP0034,Christensen PLC,China,Finishing,frogers@example.com,(273)554-5494,2023-10-07,7.9
SUP0035,Allen Group,Italy,Raw Materials,ppeters@example.net,777.801.4363x4957,2023-08-13,4.9
SUP0036,"Pierce, Bell and Chavez",Turkey,Raw Materials,john13@example.com,682-333-7498,2023-10-14,9.7
SUP0037,Phillips LLC,Vietnam,Weaving,kevinerickson@example.org,900-984-2710x947,2022-06-01,9.2
